Location,Latitude,Longitude,GeoCode Address,Person,Organization,Facility,Artifact
,0.0,0.0,,,Google,,Google 's Superstorm Sandy crisis map eyewitness video
NY,40.7127837,-74.0059413,"New York, NY, USA",a lot of people NY mayor & amp;NJ gov them,,,
,0.0,0.0,,,"travel , cargo operations",,
,0.0,0.0,,YanceyRoy,,,
,0.0,0.0,,Maxs_LilMonkeyy us everyone,,,
,0.0,0.0,,sharris07 cufyochickbert,,,
,0.0,0.0,,SeanKCarter Non  union Relief Crews,New Jersey,,
Houston,0.0,0.0,"Houston, TX, USA",BossChicks they so many in the NICU they several babies 2 backboards them,,the NICU,backboards
,0.0,0.0,,,Gap,,
,0.0,0.0,,evanchooly bloomberg,,,
,0.0,0.0,,,dailyrecord NJ_TRANSIT Majority of # NJTransit bus service,,
,0.0,0.0,,,AP_Mobile,,interactive storm tracker
The Beach,32.4839922,-80.97624139999999,"S-27-266, Ridgeland, SC 29936, USA",,,,
,0.0,0.0,,POTUS he,,,
,0.0,0.0,,Yankees,,,$ 1 million
,0.0,0.0,,volunteers,Hurricane # Sandy disaster recovery program JobHuntOrg,,
Horsham Lower Gwynedd Lower Merion Lower Moreland Lower Providence Lower Salford Montgomery Township Skippack,0.0,0.0,"Horsham, PA, USA",,,,
SE PA,0.0,0.0,"Pennsylvania, USA",sis in SE PA,,,
Jersey Shore,0.0,0.0,"Jersey Shore, PA 17740, USA",,,The waterfront rides on Casino Pier,video
,0.0,0.0,,,,,
,0.0,0.0,,,,,
,0.0,0.0,,sandy victims on cruise ships GOP # NYsen candidate Long,GOP CapitalTonight,cruise ships,
,0.0,0.0,,"145 , 000 Canadians",,,power
NJ Alabama,40.0126553,-74.6176392,"Alabama Avenue, Fort Dix, NJ 08640, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.9045557,-75.1006797,"Alabama Road, Camden, NJ 08104, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,40.899723,-74.150618,"Alabama Avenue, Paterson, NJ, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,40.0109673,-74.12445319999999,"Alabama Avenue, Toms River, NJ 08753, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,40.1100476,-74.1251743,"Alabama Avenue, Brick, NJ 08724, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.91646110000001,-74.57769619999999,"Alabama Trail, Browns Mills, NJ 08015, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.9566577,-74.39222869999999,"Alabama Lane, Manchester Township, NJ 08759, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.022502,-74.935592,"Alabama Avenue, Villas, NJ 08251, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,40.1455547,-74.2632981,"Alabama Court, Jackson, NJ 08527, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,40.9729363,-74.6295124,"Alabama Avenue, Lake Hopatcong, NJ 07849, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.6008313,-74.2102565,"East Alabama Avenue, Long Beach Township, NJ 08008, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,40.4323855,-74.25936449999999,"Alabama Court, Matawan, NJ 07747, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.6030797,-74.2151495,"West Alabama Avenue, Long Beach Township, NJ 08008, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
NJ Alabama,39.5518534,-74.3749122,"Alabama Drive, Little Egg Harbor Township, NJ 08087, USA",1SupremeGoddess Non  Union Alabama Electrical Workers,Hurricane  Devastated NJ Town,,
,0.0,0.0,,Teresia198525 I,,,
Jersey Shore,0.0,0.0,"Jersey Shore, PA 17740, USA",,ABC News ABC,,
Chicago,0.0,0.0,"Chicago, IL, USA",,washingtonpost,,
,0.0,0.0,,I We,nytimes,,
,0.0,0.0,,TIARABELLAAA you Bruno You guys,,,
,0.0,0.0,,Whom It May Concern you I,NASA,,satellite footage of # Sandy an online video
,0.0,0.0,,Miles MZbarrow11,,,
,0.0,0.0,,TamberBernelle evryone,,,
